Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9,,,,,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
,,,,,,,90,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,91,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,92,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,93,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,94,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,95,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,96,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,97,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,98,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,99,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,100,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,101,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,102,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,103,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,104,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,105,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,106,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,107,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,108,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,109,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,110,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,111,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,112,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,113,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,114,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,115,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,116,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,117,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,118,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,119,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,120,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,121,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,122,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,123,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,124,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,125,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,126,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,127,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,128,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,129,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,130,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,131,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,132,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,133,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,134,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,135,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,136,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,137,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,138,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,139,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,140,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,141,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,142,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,143,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,144,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,145,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,146,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,147,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,148,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,149,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,150,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,151,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,152,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,153,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,154,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,155,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,156,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,157,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,158,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,159,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,160,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,161,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,162,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,163,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,164,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,165,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,166,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,167,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,168,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,169,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,170,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,171,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,172,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,173,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,174,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,175,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
