Time_Index,Electricity_MW_CA,Electricity_MW_NW,Electricity_MW_SW,Electricity_MW_TX,Electricity_MW_NCEN,Electricity_MW_CEN,Electricity_MW_SE,Electricity_MW_MIDAT,Electricity_MW_NE,Hydrogen_MW_CA,Hydrogen_MW_NW,Hydrogen_MW_SW,Hydrogen_MW_TX,Hydrogen_MW_NCEN,Hydrogen_MW_CEN,Hydrogen_MW_SE,Hydrogen_MW_MIDAT,Hydrogen_MW_NE,NaturalGas_MW_CA,NaturalGas_MW_NW,NaturalGas_MW_SW,NaturalGas_MW_TX,NaturalGas_MW_NCEN,NaturalGas_MW_CEN,NaturalGas_MW_SE,NaturalGas_MW_MIDAT,NaturalGas_MW_NE,Diesel_MW_Global,Gasoline_MW_Global,JetFuel_MW_Global,Demand_Zero
39,54488,30297,39530,58650,115231,60988,145692,122856,71414,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
40,54267,29606,38269,58042,116418,60672,148872,128915,75093,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
41,52712,28543,37833,59394,121465,62577,157931,137503,79934,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
42,53376,29040,39249,61887,125240,66119,160182,133896,77749,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
43,56231,30281,41964,61555,124069,65197,159997,131409,75242,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
44,58340,31568,42432,60597,120262,64280,153844,125393,70758,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
45,59474,30387,42206,57570,113945,61193,146168,120492,67581,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
46,57651,29273,40124,55002,108177,58935,139512,114947,63381,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
47,52447,27257,37679,52909,102218,56758,134585,109401,59081,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
48,47758,25718,35407,52366,98865,55508,134834,109238,54200,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
49,42867,24518,33388,58166,100139,59025,138164,108158,53042,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
50,38505,24463,32669,60095,98715,59388,140617,107140,51732,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
51,35950,25808,32692,61819,98218,59885,144339,108284,51698,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
