commodity,zone,component_id,component_type,variable,segment,time,value
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,137,0.0002990089715246393
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,138,0.00029739624440144245
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,139,0.0002946456201458068
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,140,0.0002917938965497388
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,141,0.000295014975819507
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,142,0.0003024177542139982
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,143,0.0003054465544426958
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,144,0.0003130711003035429
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,145,0.00032284629958793666
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,146,0.0003320326835995457
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,147,0.0003394014877650748
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,148,0.00034249661939041355
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,149,0.0003416329097919293
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,150,0.00033714570633160194
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,151,0.0003321265861285403
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,152,0.0003194364151635561
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,153,0.0003007472056309701
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,154,0.000296269564659739
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,155,0.00029738493516888855
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,156,0.0003004586821083251
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,157,0.00030003912349240434
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,158,0.0002994003725835129
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,159,0.00029928327486831286
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,160,0.0002996613413960781
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,161,0.0002986061242036625
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,162,0.0002970256120348077
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,163,0.00029417570715323856
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,164,0.00029247478845394165
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,165,0.0002946154307637024
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,166,0.00030174116328916605
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,167,0.0003047400931980072
Electricity,CA,elec_CA,Node{Electricity},non_served_demand,1,168,0.00031277617977347433
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,1,0.0003753287307387638
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,2,0.00038851380807258985
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,3,0.0004042933540612061
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,4,0.0004109886925018711
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,5,0.0004112723649484167
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,6,0.0004069223403784447
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,7,0.0004069816141800459
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,8,0.00039381296643347904
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,9,0.0003733822930842049
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,10,0.0003798987950853175
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,11,0.00037102675964355297
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,12,0.0003672545794679894
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,13,0.00036419343421027935
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,14,0.0003694646824665662
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,15,0.00036824617353174266
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,16,0.0003734478912505388
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,17,0.0003777292776195808
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,18,0.00037391052641476934
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,19,0.00037004571715378416
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,20,0.00036264601338250674
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,21,0.0003664076289036781
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,22,0.0003727281201640818
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,23,0.00038131059199324066
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,24,0.0003900998054822874
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,25,0.0004033580051303943
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,26,0.000406427791889089
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,27,0.00040672801200929316
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,28,0.0004121990330098329
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,29,0.00040980002130969667
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,30,0.00040681801886690205
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,31,0.00040609090739930837
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,32,0.0003979629482095056
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,33,0.0003784307238168976
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,34,0.0003823160650265239
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,35,0.00036966121957774533
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,36,0.00036398389964162364
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,37,0.00036126966115257415
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,38,0.0003661282344479092
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,39,0.0003651124802174081
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,40,0.000369303661460537
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,41,0.00037370179168753155
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,42,0.0003706076411217122
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,43,0.0003658357644234188
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,44,0.0003582401130955328
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,45,0.00036268232379841665
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,46,0.000369425831043156
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,47,0.0003780560489072568
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,48,0.0003870394815992377
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,49,0.00039724447645867963
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,50,0.00039544652942894907
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,51,0.00038532933837070316
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,52,0.00038671490616724505
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,53,0.00038326157289208325
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,54,0.0003783627906446485
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,55,0.00037416536080824524
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,56,0.00035656769209215937
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,57,0.00033224733597063524
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,58,0.00033037556350521866
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,59,0.0003319957445440214
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,60,0.00033753555630744436
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,61,0.0003351259551169552
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,62,0.0003379442251634968
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,63,0.0003391344890798655
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,64,0.00034203182748381977
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,65,0.0003412290491977339
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,66,0.0003370227172604367
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,67,0.000332023989736662
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,68,0.0003272434083453789
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,69,0.0003376210235541237
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,70,0.00035158414732931856
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,71,0.00035726199186127263
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,72,0.00036812456306353314
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,73,0.00037988781151934844
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,74,0.00038555119720524544
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,75,0.00038916529259288657
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,76,0.00038934634563737484
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,77,0.00038526132556838515
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,78,0.0003805572584643643
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,79,0.00037565814005478034
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,80,0.0003581552978414341
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,81,0.00033449540928057143
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,82,0.0003319567268858388
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,83,0.0003337214997953533
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,84,0.00033903419583025646
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,85,0.00033690750176851785
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,86,0.00033941503262476685
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,87,0.0003404975922647167
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,88,0.0003433800040729635
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,89,0.00034262098407915754
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,90,0.00033835047549642783
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,91,0.0003334960554605207
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,92,0.00032841699342162203
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,93,0.00033856699261785493
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,94,0.000352918411930327
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,95,0.0003587185697710193
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,96,0.00036972125885751343
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,97,0.0003815820248475521
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,98,0.00038720183603729337
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,99,0.0003903995155069809
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,100,0.0003908477229818197
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,101,0.00038580608526730064
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,102,0.000381271421399601
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,103,0.00037632301506947347
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,104,0.00035883709145124955
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,105,0.00033522460127586006
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,106,0.0003325492808770317
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,107,0.00033344472130118655
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,108,0.0003382651518211729
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,109,0.0003362646272061166
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,110,0.00033869550273866404
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,111,0.0003397758352342606
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,112,0.0003423933177505237
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,113,0.00034107635101937296
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,114,0.00033747086207680754
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,115,0.00033255621046589256
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,116,0.00032761921049863157
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,117,0.0003380551554553511
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,118,0.000352231362682776
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,119,0.0003579503285011014
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,120,0.00036862621586185226
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,121,0.0003783876202829004
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,122,0.0003830728299688839
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,123,0.0003893984945834843
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,124,0.00038888368510821373
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,125,0.0003834737736899359
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,126,0.0003786925222406584
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,127,0.0003752109636541819
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,128,0.00035802424171600515
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,129,0.00033485762738661383
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,130,0.00033309176815407365
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,131,0.00033361351081009465
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,132,0.00033955104889762575
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,133,0.00033721947542836333
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,134,0.0003393409532515824
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,135,0.00034065768936374953
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,136,0.0003439786928146158
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,137,0.0003430455287212895
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,138,0.00033968310527811865
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,139,0.0003343572074149986
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,140,0.0003295197415477263
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,141,0.0003395877532254179
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,142,0.0003542828205042285
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,143,0.00035991720593370424
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,144,0.00037074453613289166
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,145,0.00037936968684040856
