zone,category,value
co2_sink_NW_Bio_H2_CCS_99_Agri_transforms,VariableOM,15847.979807649695
NW_Bio_H2_CCS_99_Agri_transforms_co2_sink,VariableOM,391.26223952778844
co2_sink_SW_Bio_H2_CCS_99_Agri_transforms,VariableOM,18152.339108486503
SW_Bio_H2_CCS_99_Agri_transforms_co2_sink,VariableOM,444.5181811036592
co2_sink_TX_Bio_H2_CCS_99_Agri_transforms,VariableOM,17170.25683809558
TX_Bio_H2_CCS_99_Agri_transforms_co2_sink,VariableOM,428.6949436317724
co2_sink_NCEN_Bio_H2_CCS_99_Agri_transforms,VariableOM,33820.18096564453
NCEN_Bio_H2_CCS_99_Agri_transforms_co2_sink,VariableOM,821.6049287288316
co2_sink_CEN_Bio_H2_CCS_99_Agri_transforms,VariableOM,25171.29942532635
CEN_Bio_H2_CCS_99_Agri_transforms_co2_sink,VariableOM,613.6111300976333
co2_sink_SE_Bio_H2_CCS_99_Agri_transforms,VariableOM,16080.167363236129
SE_Bio_H2_CCS_99_Agri_transforms_co2_sink,VariableOM,393.49854629277326
co2_sink_MIDAT_Bio_H2_CCS_99_Agri_transforms,VariableOM,15456.250828578748
MIDAT_Bio_H2_CCS_99_Agri_transforms_co2_sink,VariableOM,375.7425431670441
co2_sink_NE_Bio_H2_CCS_99_Agri_transforms,VariableOM,14237.887664979186
NE_Bio_H2_CCS_99_Agri_transforms_co2_sink,VariableOM,345.2924361430442
CA,Startup,1.1476595761058321e6
NW,Startup,1.0868660908369152e6
SW,Startup,1.2177085167160968e6
TX,Startup,1.681998681383205e6
NCEN,Startup,1.482566103908291e6
CEN,Startup,2.0209393574504673e6
SE,Startup,1.6547292309406628e6
MIDAT,Startup,1.6030917006957908e6
NE,Startup,1.2512461634923953e6
gasoline_fossil_global_Global_Fossil_Petroleum_Refinery_transforms,Fuel,6.252047155927561e10
jetfuel_fossil_global_Global_Fossil_Petroleum_Refinery_transforms,Fuel,1.3767385250501362e10
diesel_fossil_global_Global_Fossil_Petroleum_Refinery_transforms,Fuel,4.774289881228299e10
CA_NW,Investment,204527.525456778
CA_SW,Investment,95561.2056813293
NW_SW,Investment,8.242325252789654e8
SW_CEN,Investment,1.6171769217216107e8
TX_CEN,Investment,4.516138499857824e8
NCEN_CEN,Investment,3.8669276925611025e8
NCEN_SE,Investment,7.246556861126628e8
NCEN_MIDAT,Investment,14678.378699012224
CEN_SE,Investment,1.242471462108342e9
SE_MIDAT,Investment,4.023055628792853e8
MIDAT_NE,Investment,29340.189086729904
CA,NonServedDemand,114003.64190632835
NW,NonServedDemand,115550.96922937155
SW,NonServedDemand,115022.47903199392
NCEN,NonServedDemand,110369.16428784971
CEN,NonServedDemand,111210.08215396205
TX,NonServedDemand,112193.50887790156
SE,NonServedDemand,109847.82766381282
MIDAT,NonServedDemand,109808.35884932135
NE,NonServedDemand,109879.92915084868
Total,Investment,2.2684386754148224e11
Total,FixedOM,1.0652933786804285e11
Total,VariableOM,7.92129368194922e10
Total,Fuel,2.2394982757312354e11
Total,Startup,1.3146805421529654e7
Total,NonServedDemand,1.00788596115139e6
Total,Total,6.365501244935236e11
