Time_Index,None,NE_reference_uranium,SE_reference_uranium,TX_reference_uranium,CA_reference_uranium,NW_reference_uranium,SW_reference_uranium,NCEN_reference_uranium,CEN_reference_uranium,MIDAT_reference_uranium,,NE_reference_uranium,SE_reference_uranium,TX_reference_uranium,CA_reference_uranium,NW_reference_uranium,SW_reference_uranium,NCEN_reference_uranium,CEN_reference_uranium,MIDAT_reference_uranium,,Assumptions,,
71,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
72,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
73,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
74,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
75,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
76,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
77,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
78,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
79,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
80,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
81,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
82,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
83,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
84,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
85,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
86,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
87,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
88,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
89,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
90,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
91,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
92,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
93,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
94,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
95,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
96,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
97,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
98,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
99,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
100,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
101,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
102,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
103,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
104,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
105,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
106,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
107,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
108,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
109,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
110,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
111,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
112,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
113,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
114,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
