Time_Index,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7
26,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.692954199,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692954199,0.653874656,0.693532275,0.757128018,0.562398929,0.539183807,0.581980861
27,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67600333,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67600333,0.655990647,0.687245846,0.764236656,0.565146599,0.549338726,0.596371533
28,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.651325669,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651325669,0.655180037,0.681445281,0.770896947,0.570630199,0.56105941,0.609734876
29,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65181989,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65181989,0.651744872,0.666373214,0.780559485,0.581221175,0.56346137,0.617734322
30,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.673167916,0.201446917,0.003130114,1.0,1.0,1.0,1.0,0.003130114,0.001301758,0.0033402,0.0,1.96e-5,0.000351539,0.0,0.673167916,0.653536639,0.673449531,0.788207686,0.588205383,0.56485396,0.635126409
31,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.705355039,0.201446917,0.182519143,1.0,1.0,1.0,1.0,0.182519143,0.134157028,0.141177387,0.014578085,0.059493514,0.058127004,0.052747708,0.705355039,0.659391049,0.694426848,0.789910907,0.594898186,0.56628367,0.657149071
32,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.644531277,0.201446917,0.584809064,1.0,1.0,1.0,1.0,0.584809064,0.449326159,0.513412491,0.124522711,0.198596772,0.207982269,0.335435099,0.644531277,0.617371865,0.636154084,0.792515471,0.589249286,0.531608248,0.672970744
33,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.504446085,0.201446917,0.636278896,1.0,1.0,1.0,1.0,0.636278896,0.5316223,0.645021509,0.174171603,0.275197979,0.310005412,0.504000455,0.504446085,0.414443034,0.354650475,0.766130875,0.437139125,0.332534431,0.623435781
34,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.503521551,0.201446917,0.588336488,1.0,1.0,1.0,1.0,0.588336488,0.51886474,0.597197671,0.232231925,0.327061489,0.339301185,0.493482704,0.503521551,0.346485305,0.301645406,0.634034039,0.31092508,0.277051576,0.554938619
35,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51611234,0.201446917,0.532968553,1.0,1.0,1.0,1.0,0.532968553,0.494339277,0.552266551,0.309772125,0.354142923,0.365468382,0.472910374,0.51611234,0.332498631,0.30318594,0.556969259,0.279641376,0.279911834,0.550984117
36,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.518029966,0.201446917,0.526185979,1.0,1.0,1.0,1.0,0.526185979,0.500228647,0.561832164,0.350616349,0.364015224,0.392635149,0.465436707,0.518029966,0.324251637,0.275739177,0.525949668,0.28114331,0.304712566,0.57293278
37,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.555878033,0.201446917,0.547773211,1.0,1.0,1.0,1.0,0.547773211,0.542131359,0.605421917,0.325082948,0.369927264,0.394755173,0.466097236,0.555878033,0.327264796,0.240540106,0.532773384,0.289736953,0.319647065,0.589420727
38,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53769324,0.201446917,0.559146219,1.0,1.0,1.0,1.0,0.559146219,0.557893142,0.608161645,0.285188043,0.386998902,0.381443365,0.408226642,0.53769324,0.337955491,0.237457149,0.562875291,0.299197231,0.33791426,0.604301604
39,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.525919979,0.201446917,0.396333986,1.0,1.0,1.0,1.0,0.396333986,0.378463879,0.393033791,0.208288179,0.290585834,0.276298022,0.289202214,0.525919979,0.341639934,0.223094354,0.591560141,0.315479964,0.362597526,0.626506395
40,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.552105972,0.201446917,0.061193489,1.0,1.0,1.0,1.0,0.061193489,0.064972053,0.048669084,0.058349457,0.055465844,0.069001352,0.09574693,0.552105972,0.328162488,0.251416967,0.578644773,0.328845012,0.382540464,0.631279072
