time,elec_CA_seg1,elec_NW_seg1,elec_SW_seg1,elec_NCEN_seg1,elec_CEN_seg1,elec_TX_seg1,elec_SE_seg1,elec_MIDAT_seg1,elec_NE_seg1,h2_CA_seg1,h2_NW_seg1,h2_SW_seg1,h2_NCEN_seg1,h2_CEN_seg1,h2_TX_seg1,h2_SE_seg1,h2_MIDAT_seg1,h2_NE_seg1
26,0.0034652544144019117,0.004278513062991534,0.0037190027894740065,0.003201379719650805,0.003233286817103939,0.003228855707427908,0.003190820133504788,0.003190926532815158,0.003178896328189668,0.003070278994475621,0.0030622297972671343,0.003026707454276721,0.003306571591818056,0.0033703163696757734,0.0032792692777297953,0.0033071638061689295,0.0033180269417611057,0.0033115031105689823
27,0.0035633809211754876,0.004283886604875943,0.0037734183792814337,0.0031932242547435623,0.0032382780429857593,0.0032302870517472676,0.0031741250993761352,0.0031812914477923533,0.003177700399677729,0.003065067250836309,0.003057860890473926,0.0030210566213317923,0.0033013996424349846,0.003369606401979578,0.0032763893104485616,0.0033073198728452344,0.0033178742880790976,0.0033079678155379364
28,0.003648403733717355,0.00433379658350788,0.003818874230384155,0.003195079195075331,0.003232807727278347,0.003224765857452955,0.003187344745048578,0.0031828477239231054,0.0031768286157011017,0.003070032489050878,0.00306392830262561,0.0030263728014700117,0.003313801504823799,0.003382359674459691,0.0032879362184235665,0.0033200128857777417,0.003326848551647587,0.0033099219840222564
29,0.00366391705865642,0.0043274601491548005,0.0038145526879339634,0.0031949792273395054,0.003229994101605722,0.0032189948019304194,0.003184919718380794,0.003184529973754804,0.0031775464870042024,0.003068620004911194,0.003061643659659128,0.0030256261821798264,0.0033061799292371237,0.0033714371634381668,0.003280367121476686,0.003308238302207194,0.003319623551571906,0.003315830336702665
30,0.003633443799255085,0.004289678924991904,0.003798498464276349,0.0031964355426990325,0.0032234798795145563,0.0032119616270273985,0.0031588224576542985,0.0031629063539904507,0.0031660780142925855,0.003064032748289024,0.0030577640325210958,0.003021163746655536,0.0033033701154089805,0.0033719132942190517,0.0032779345469866935,0.003311671303097375,0.0033227326123054742,0.0033190615437636187
31,0.003605994179201695,0.004268320159597046,0.00377376252176671,0.0032052995241319345,0.00318960878278889,0.003188292147285698,0.003166225166956867,0.0031674428302599445,0.003159603596103548,0.0030704145209219623,0.0030636849509724606,0.003026806891590086,0.00331524969320314,0.0033848570857433094,0.003289483958941768,0.003324401167639005,0.0033324699861410657,0.003321745266130533
32,0.0035392419947897114,0.004178347250417467,0.0036326776839604113,0.0031989992966146206,0.003185342217641715,0.003184508566434181,0.0031626419532285806,0.0031679559207623133,0.003165658176096207,0.003067881273758431,0.0030603125440922876,0.003023621938525871,0.003304523269037034,0.0033707583399259586,0.0032828209644261102,0.0033238608926789985,0.003330684326216517,0.003326719853747361
33,0.0033792967226898684,0.0039353468421698705,0.0035795338392983953,0.0031860060602430045,0.0031795440220787805,0.003183491704083666,0.003166867202137905,0.003160492149466399,0.0031590495266743198,0.0030664849047500006,0.003058527883006516,0.0030236364690404403,0.0033173142420359924,0.003382432328481211,0.0032882756265710123,0.0033313602586023112,0.0033431174369772275,0.0033403466391141415
34,0.0033589857171846664,0.003962296434153625,0.0035012828291088346,0.0032002050958771402,0.003191164061131679,0.00318568767178893,0.003165839364788847,0.003167734642014886,0.003163750904418988,0.0030742867917313093,0.003065939969248347,0.0030306025373610084,0.0033247092842539593,0.0033958091475740798,0.0032943883254112627,0.0033374324384266418,0.0033469997676614767,0.00334024602192438
35,0.003295678926474918,0.003827009350835539,0.0034545430002184147,0.0031997957076692653,0.003193298384055832,0.0031863625138892223,0.0031715970427612914,0.0031727515510074633,0.0031700714705240893,0.0030706997108127655,0.0030667222249353373,0.003027159487848807,0.0033116246440014012,0.0033811828736849876,0.003291558642487264,0.003321598705125106,0.0033361074134391254,0.00333349938219444
36,0.003270868341951336,0.0037589819307166598,0.0034182731996059055,0.0031957485889134666,0.003187332935609027,0.003186550769085894,0.0031798641225962887,0.0031677426269897907,0.003166321348775845,0.0030694546274463055,0.003066343808641261,0.003025806977849528,0.0033195296092292967,0.0033879440001648997,0.0032916478907496706,0.0033294359429185292,0.0033460231762449766,0.003344868441449841
37,0.0032560998592149988,0.003709682360791801,0.003450702154168445,0.0031985293931611025,0.0031916427040326652,0.003190417136505128,0.003176032503994509,0.003174094269851544,0.0031746237961561763,0.00307552002448921,0.003069507490676615,0.003029568168385478,0.0033244532026602907,0.003394760116982923,0.003294024227166533,0.0033361856125858113,0.0033481109246817353,0.003342814290676357
38,0.0032507460875352244,0.003771836901698114,0.003438356139044131,0.0031954312608374535,0.003188842723809146,0.00319688326441089,0.003176164782478971,0.00317788090148754,0.0031748887491178115,0.003074762334679139,0.003068455129114143,0.0030300327866321277,0.003313052161483158,0.003382027758981992,0.0032918816412775332,0.0033217284047330695,0.003336367869113849,0.0033346737831020825
39,0.0032354237574972787,0.0037581252597750168,0.003435428127300561,0.0031934939825128753,0.003198477623648119,0.0032101361839729616,0.0031841875000373924,0.0031748624291472326,0.003171742261513393,0.0030730896978334687,0.0030665325284137904,0.0030286446131869245,0.0033203884962724126,0.0033869427749266133,0.003291620175374499,0.003328656676562041,0.003344494144650895,0.0033436443364147582
40,0.0032380233424330156,0.0037995156250664607,0.0034703225085254415,0.003194882984817689,0.0032016817831799077,0.0032145673078941618,0.003177304993163139,0.003180987178867669,0.003175054716638283,0.0030750063641707924,0.00306904997504562,0.003026550713652543,0.0033282615846043323,0.003393603310390449,0.003294407794336694,0.003338208667244449,0.003345117302990183,0.003335389697083228
41,0.0032485977024547872,0.0038586546030327986,0.0034803901816340744,0.0031964798308408114,0.00319644744082079,0.003206119366457848,0.0031941895950788274,0.003181202401228727,0.0031736234345076985,0.0030760606715821417,0.0030683920274110596,0.0030287361528927997,0.0033115851356508197,0.003380192536194469,0.0032906143872331707,0.003340837233570316,0.0033247519031761544,0.0033250502462242814
42,0.003242779915456154,0.0038182836143191394,0.0034423391231445588,0.0031790005038699045,0.0031883071537489984,0.0031975625642347485,0.003186039812590824,0.003173565549246805,0.0031688494636481945,0.0030711414231339262,0.0030639044808819316,0.003028247693058136,0.0033057549043344963,0.0033729299769422396,0.003286390056645679,0.0033336589301434538,0.003320012494249069,0.003324151684072743
43,0.00322629545278094,0.0037671970673664604,0.003389260026457651,0.003192021847965433,0.003189283214259703,0.003198676842666806,0.0031972965883076705,0.0031783171853674986,0.0031710971067431992,0.00307353730843797,0.003066974693589196,0.003029983811726085,0.003314966843196466,0.0033808444567415123,0.0032886760069139216,0.0033440855739542467,0.0033254749499123473,0.0033222913445406454
44,0.0032120707640963405,0.003700843785456703,0.0033784396844799116,0.003189816769374305,0.0031859318771271807,0.0032000808627289665,0.0032006959246548,0.0031829691183715074,0.00317433550951247,0.003074011385212354,0.003064315766247372,0.0030296055453110466,0.0033101528739759305,0.0033709367276688867,0.003280063203714373,0.003333147702772588,0.003318258883219914,0.003323122840644714
45,0.003205769745198825,0.0037539968577150373,0.0033813212581718277,0.0031764021647063467,0.003195378406463908,0.0032150443503312304,0.0031918597240978967,0.0031812043107110766,0.003174453928735667,0.0030637999204365866,0.003057778480278011,0.0030213689425930865,0.003302906718546073,0.003365024050072137,0.003273892253921511,0.003334407838217859,0.0033155897624974236,0.003321418637231147
46,0.0032163726554529258,0.0038196632598707946,0.003426974484613924,0.003192771131821741,0.0032067007957041265,0.0032315347230812965,0.0032073758059214807,0.003182694049859798,0.003176333433524903,0.0030690569918871233,0.0030630924459651276,0.0030265185382165644,0.0033140404080199584,0.0033775037870118173,0.0032852362520388693,0.003346733486357579,0.0033225161978805984,0.003319587725306968
47,0.003251017203694833,0.0039424061410923235,0.0034866992840429643,0.003193415076290747,0.0032172279646395735,0.0032453234820221796,0.0032099825722166782,0.003186710004570635,0.0031800667409970255,0.0030694852062397235,0.0030612673076872723,0.003026616257120759,0.0033046499095640055,0.00336598545258286,0.0032769434041935363,0.003335226347091854,0.003315849530019146,0.0033213917191223983
48,0.003295752947599706,0.004038662950271438,0.003548927300183654,0.003173117526851624,0.0032166275673523787,0.0032504414406288526,0.0031986011874037277,0.003180476291574216,0.003178335726528691,0.0030618830523015126,0.003056422948403507,0.0030203917691244597,0.0033003496443176363,0.0033619933690279893,0.0032731042013437526,0.003337458807032503,0.003316390162223473,0.003320375687021182
49,0.0033690618915780375,0.004145825481082085,0.0036252066495603566,0.0031856874057657547,0.0031969590217861936,0.0032112744737269067,0.003207603736776014,0.0031836931417344957,0.003177473476443864,0.003068405274194551,0.003062603550217745,0.0030260457396141848,0.003312539487183072,0.0033770820014927825,0.003285339170568618,0.0033495782355793522,0.0033239649268791797,0.003319624315971377
50,0.003461552515934715,0.0041472054361760885,0.00365230869845483,0.0031863044323552584,0.003194600533932259,0.003202929887402761,0.0032065099245451247,0.0031833784773888595,0.0031773408514715394,0.003068717006883085,0.0030608719706767735,0.0030261424853980008,0.003303510525708048,0.0033653584599929918,0.0032765498241396442,0.0033379327555215317,0.0033164841703190056,0.00332005753405003
51,0.003530952463516207,0.004031913577434149,0.003646541427078536,0.003172517884276139,0.0031914140047675983,0.0031919177284524865,0.003195393079591848,0.0031809553884653537,0.003173746415537533,0.003060995346285422,0.0030570554615489505,0.003020462021127852,0.0033002279945979407,0.0033630708889580492,0.0032727200105604547,0.00333998828590292,0.003316254332674099,0.003319764657771751
52,0.0035469725785346956,0.004013859383032768,0.0036509886093386906,0.003186303118678906,0.0031892193923421437,0.0031867874581266555,0.0032016000644576165,0.0031846111157565085,0.0031744596966456,0.0030680537542924543,0.003063645966817061,0.0030261696524746303,0.0033121891078337026,0.003376717580948135,0.0032854402915424366,0.003351411227970084,0.003324553070138984,0.003318240249811524
53,0.0035363210947658356,0.003985124506513471,0.003626457262631994,0.003185699266606176,0.0031820803894744665,0.0031765854165907367,0.0031952624568811856,0.003191513143362417,0.0031823385633252183,0.003068509902849902,0.003062479690928938,0.0030260181757969873,0.0033031114744490686,0.0033659818257241025,0.003275747668790041,0.003339477444362058,0.0033316724278710788,0.003339095898346244
54,0.0034862111510788945,0.0039264740586420635,0.0035767187482489454,0.003177144750946143,0.0031835005407400067,0.0031878481758081914,0.0031783102490505217,0.003155466656869813,0.0031508373684167494,0.0030626594453127863,0.0030600198428825665,0.0030212558854775984,0.0033045192113069213,0.0033653485541279456,0.0032743844596545895,0.0033426431632004217,0.0033373749329298334,0.003342472963076148
55,0.0034251179437230616,0.0038502095239235905,0.0034914168374131967,0.003188608695158651,0.003209797268984521,0.0032117389253919137,0.0031488915883566885,0.003148379241899252,0.0031398439143236596,0.0030708655265298196,0.0030694247340604737,0.0030286562358983883,0.0033230705829124943,0.0033863571698145114,0.0033013865982753263,0.003353210838540476,0.0033477319297606596,0.0033435508618598706
56,0.00332803164143093,0.0036800140616075963,0.0033151570716377114,0.003182763486691359,0.003211601590937493,0.0032126977846918263,0.003155214243716776,0.0031596405627066877,0.003153126150416968,0.0030819519845925723,0.0030784919608344216,0.003040107552728088,0.0033105526528381716,0.0033746412955916873,0.0032953544217928367,0.0033497154413210726,0.003346785789661783,0.0033461093101500756
57,0.0032051436099099157,0.0034344238956247057,0.0032645806009375072,0.003177993850254774,0.0032048231358642897,0.0032114929276677853,0.003163431167066656,0.0031627579383589483,0.003164280661356923,0.0030810638000262586,0.0030768296808491888,0.0030390541952598294,0.0033217969060556837,0.0033837298724529803,0.0033007997542417867,0.003359059238948374,0.0033548742585890116,0.0033576239104002835
58,0.003203655997568145,0.0034130547852945924,0.003263818263631917,0.003188059247682785,0.0032036742594815345,0.003206203008226357,0.003168226169090657,0.0031774724572408396,0.0031722911884505363,0.003089376030799766,0.003083614899335298,0.0030459514344537805,0.003332302832968679,0.0033951793552611815,0.00330677617453554,0.003363628020891851,0.0033597173245136455,0.003355468134239128
59,0.003201537346907144,0.003427217426527192,0.003300067554571549,0.003189275620752252,0.003203749870176357,0.0032056072501671405,0.0031717478527392277,0.0031826004424151274,0.0031773940522407604,0.003088832936856699,0.003083802701093179,0.0030469443318561474,0.00331908671596014,0.0033824993692841993,0.003303657396804691,0.003350192455281772,0.003346524672133559,0.0033459981657546376
60,0.0032162355178814487,0.0034737553814358346,0.003304656520007356,0.003184151021318415,0.0032025954855687904,0.0032035047574894312,0.003182063516701723,0.003173443167437761,0.0031739899923397537,0.003088552144884493,0.0030827673036727004,0.0030455024914605817,0.0033327612215593026,0.003391298966098441,0.0033035217220767784,0.003357327149001218,0.0033529083332430793,0.00335529612096995
61,0.0032100236345297315,0.0034481142405423542,0.003318887876524335,0.0031988717597146413,0.0032052110450835167,0.0032034420823317997,0.0031864258276941113,0.0031890156986493926,0.003183136526829085,0.003091125539934725,0.0030866644941760285,0.0030457331682158854,0.0033402280627457238,0.003398528055629249,0.0033064174644336967,0.0033622988334980164,0.003357615373266658,0.003352730212050815
62,0.0032053084124408506,0.003478180514489779,0.003320645543924814,0.0032006499000776364,0.003204140973789573,0.0032036132484854042,0.003188281518978364,0.003192553198910269,0.003187212134502844,0.003089846953333108,0.003085039563222362,0.003047481680970754,0.0033282651612840364,0.003387890570786771,0.0033041617117019863,0.0033501325654469176,0.003347205237018943,0.0033442319061376346
63,0.003203567156541402,0.003488373304772733,0.003331578183326736,0.0031889746755853856,0.0031994139969104642,0.0032005866468710793,0.0031862590599111896,0.003176889286861082,0.003179545462658712,0.0030887113205269323,0.0030829445728990964,0.003045627471445952,0.0033327517746486943,0.0033909548557435913,0.003303874548110514,0.003356896535675535,0.003351106127484931,0.003348475109210357
64,0.0032056801947392315,0.0035125427228853766,0.0033400276207369056,0.0031985461184429777,0.003203758805465418,0.003202335870763349,0.0031810609548167078,0.003183922382034278,0.0031757421560409467,0.003091264014640241,0.003086444029284576,0.0030460890093868855,0.003340534937437836,0.0033995777841970493,0.003307895053135942,0.0033653992774954067,0.0033543065034934505,0.0033415097928928363
65,0.0032008933480375916,0.003510872322068997,0.0033218394237356326,0.003193376320472111,0.0032060885552080195,0.003205063917820125,0.003171103635232915,0.0031727882078183213,0.0031649831592299852,0.00309116911806028,0.0030850952625361425,0.003049362087039164,0.003328974373952997,0.003386503088170794,0.003304317831084769,0.00334485888217198,0.0033363287629948985,0.0033358597594517468
66,0.003201497923838136,0.0034740297118698664,0.0032879947761428564,0.0031745729401095385,0.0032065389778216935,0.003208967966054883,0.0031650368854070623,0.0031690734395636287,0.0031668320259927527,0.003088385915042801,0.0030811196518316726,0.003044894018223357,0.0033222363308029646,0.003380566669552748,0.0033009073648259404,0.0033428592045804716,0.003334145935907602,0.003327122620724601
67,0.0032045792564923373,0.0034256752409137655,0.00324806344640443,0.0031946127350228467,0.0032048951176444386,0.0032062774168602837,0.0031893245720537064,0.0031886814197989648,0.0031790963120584196,0.0030905737948427113,0.00308399252081759,0.003045579590781052,0.003331360049985716,0.0033918798213151196,0.003303834344408031,0.0033528108189408174,0.003341308392906083,0.0033271342991153465
