zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,Total
co2_sink_MIDAT_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,36590.25565168692,0.0,0.0,0.0,36590.25565168692
MIDAT_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,860.9491754772605,0.0,0.0,0.0,860.9491754772605
co2_sink_NE_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,31959.770044091307,0.0,0.0,0.0,31959.770044091307
NE_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,747.2603019620079,0.0,0.0,0.0,747.2603019620079
co2_sink_CA_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,34393.31351900617,0.0,0.0,0.0,34393.31351900617
CA_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,832.806687376499,0.0,0.0,0.0,832.806687376499
co2_sink_NW_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,32772.9724887569,0.0,0.0,0.0,32772.9724887569
NW_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,808.968831979602,0.0,0.0,0.0,808.968831979602
co2_sink_SW_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,33747.17596349841,0.0,0.0,0.0,33747.17596349841
SW_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,826.2600061663305,0.0,0.0,0.0,826.2600061663305
co2_sink_TX_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,34684.580143051564,0.0,0.0,0.0,34684.580143051564
TX_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,865.8234546360756,0.0,0.0,0.0,865.8234546360756
co2_sink_NCEN_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,54591.3252467504,0.0,0.0,0.0,54591.3252467504
NCEN_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,1325.9695147872728,0.0,0.0,0.0,1325.9695147872728
co2_sink_CEN_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,42756.20896252137,0.0,0.0,0.0,42756.20896252137
CEN_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,1042.0999873591122,0.0,0.0,0.0,1042.0999873591122
co2_sink_SE_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,33811.31382553344,0.0,0.0,0.0,33811.31382553344
SE_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,827.2504563397908,0.0,0.0,0.0,827.2504563397908
co2_sink_MIDAT_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,32645.69202730846,0.0,0.0,0.0,32645.69202730846
MIDAT_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,793.4779249393883,0.0,0.0,0.0,793.4779249393883
co2_sink_NE_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,28590.744904671083,0.0,0.0,0.0,28590.744904671083
NE_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,693.2499702754817,0.0,0.0,0.0,693.2499702754817
gasoline_fossil_global_Global_Fossil_Petroleum_Refinery_transforms,0.0,0.0,0.0,6.253688187011115e10,0.0,0.0,6.253688187011115e10
jetfuel_fossil_global_Global_Fossil_Petroleum_Refinery_transforms,0.0,0.0,0.0,1.3770998900010372e10,0.0,0.0,1.3770998900010372e10
diesel_fossil_global_Global_Fossil_Petroleum_Refinery_transforms,0.0,0.0,0.0,4.775543032060591e10,0.0,0.0,4.775543032060591e10
CA_NW,109536.39112951774,0.0,0.0,0.0,0.0,0.0,109536.39112951774
CA_SW,76105.34632767602,0.0,0.0,0.0,0.0,0.0,76105.34632767602
NW_SW,3.2057136555517364e8,0.0,0.0,0.0,0.0,0.0,3.2057136555517364e8
SW_CEN,1.563802912975549e8,0.0,0.0,0.0,0.0,0.0,1.563802912975549e8
TX_CEN,4.3987851250846124e8,0.0,0.0,0.0,0.0,0.0,4.3987851250846124e8
NCEN_CEN,4.2412016895901865e8,0.0,0.0,0.0,0.0,0.0,4.2412016895901865e8
NCEN_SE,6.854234975898547e8,0.0,0.0,0.0,0.0,0.0,6.854234975898547e8
NCEN_MIDAT,664706.3666690739,0.0,0.0,0.0,0.0,0.0,664706.3666690739
CEN_SE,1.2033426189004774e9,0.0,0.0,0.0,0.0,0.0,1.2033426189004774e9
SE_MIDAT,3.980882107460254e8,0.0,0.0,0.0,0.0,0.0,3.980882107460254e8
MIDAT_NE,305.83093688751376,0.0,0.0,0.0,0.0,0.0,305.83093688751376
Total,2.3946759957940366e11,1.0010576481993109e11,8.42646144263773e10,2.144918897188739e11,1.0785170448632803e7,2.5770365074703693e6,6.38343230751542e11
