zone,Investment,FixedOM,VariableOM,Fuel,Startup,Total
co2_sink_CEN_Bio_H2_Herb_transforms,0.0,0.0,5.743847959931002e-8,0.0,0.0,5.743847959931002e-8
CEN_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,5.825302643142754e-8,0.0,0.0,5.825302643142754e-8
co2_sink_SE_Bio_H2_Herb_transforms,0.0,0.0,6.057112052271423e-8,0.0,0.0,6.057112052271423e-8
SE_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,6.143309362424037e-8,0.0,0.0,6.143309362424037e-8
co2_sink_MIDAT_Bio_H2_Herb_transforms,0.0,0.0,6.224073900830121e-8,0.0,0.0,6.224073900830121e-8
MIDAT_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,6.311677796757165e-8,0.0,0.0,6.311677796757165e-8
co2_sink_NE_Bio_H2_Herb_transforms,0.0,0.0,6.388004212399012e-8,0.0,0.0,6.388004212399012e-8
NE_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,6.477451703458268e-8,0.0,0.0,6.477451703458268e-8
co2_sink_CA_Bio_H2_Wood_transforms,0.0,0.0,7.298696561899682e-8,0.0,0.0,7.298696561899682e-8
CA_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,7.395461578216168e-8,0.0,0.0,7.395461578216168e-8
co2_sink_NW_Bio_H2_Wood_transforms,0.0,0.0,7.334099744068873e-8,0.0,0.0,7.334099744068873e-8
NW_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,7.432671236948841e-8,0.0,0.0,7.432671236948841e-8
co2_sink_SW_Bio_H2_Wood_transforms,0.0,0.0,7.591188815731996e-8,0.0,0.0,7.591188815731996e-8
SW_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,7.694350519764196e-8,0.0,0.0,7.694350519764196e-8
co2_sink_TX_Bio_H2_Wood_transforms,0.0,0.0,7.960411110821017e-8,0.0,0.0,7.960411110821017e-8
TX_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,8.067224071280197e-8,0.0,0.0,8.067224071280197e-8
co2_sink_NCEN_Bio_H2_Wood_transforms,0.0,0.0,9.097797322769019e-8,0.0,0.0,9.097797322769019e-8
NCEN_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,9.22115888817931e-8,0.0,0.0,9.22115888817931e-8
