natgas_SE,ethane_SE,natgas_demand_SE,biocorn_SE,biowood_SE,bioherb_SE,elec_SE,ethylene_SE,ethylene_demand_SE,h2_SE,co2_captured_SE,gasoline_SE,ethanol_SE,gasoline_demand_SE,jetfuel_SE,jetfuel_demand_SE,diesel_SE,diesel_demand_SE
-90.12672714344346,21.98,102.64869769324486,155.0,566.1421530727334,566.1421530727334,0.0,-1755.9951478842868,1369.6186116522254,11.719867693260223,-603.9925904161544,94.95991,-252.80823284793263,335.09312155641715,-193.18425418959578,52.04372173072338,97.34841,349.0297540482339
-54.58614185517868,21.98,138.18928298150962,155.0,566.1421530727334,566.1421530727334,0.0,-1805.3163073276057,1320.2974522089062,11.719867693260223,-603.9925904161544,94.95991,-256.2828604376519,335.09312155641715,-193.18425418959578,52.04372173072338,97.34841,349.0297540482339
-54.58614185517868,21.98,138.18928298150962,155.0,566.1421530727334,566.1421530727334,0.0,-1805.3163073276057,1320.2974522089062,11.719867693260223,-603.9925904161544,94.95991,-256.2828604376519,335.09312155641715,-193.18425418959578,52.04372173072338,97.34841,349.0297540482339
-54.586141855178674,21.98,138.18928298150962,155.0,566.1421530727334,566.1421530727334,0.0,1144.37545056208,4269.989210098592,11.719867693260223,-603.9925904161544,94.95991,-48.479952338756654,335.09312155641715,-193.18425418959578,52.04372173072338,97.34841,349.0297540482339
-54.58614185517868,21.98,138.18928298150962,155.0,566.1421530727334,566.1421530727334,0.0,-1805.3163073276057,1320.2974522089062,11.719867693260223,-603.9925904161544,94.95991,-256.2828604376519,335.09312155641715,75.68131,320.9092859203192,97.34841,349.0297540482339
-54.58614185517868,21.98,138.18928298150962,155.0,566.1421530727334,566.1421530727334,0.0,-1805.3163073276057,1320.2974522089062,11.719867693260223,-603.9925904161544,94.95991,-256.2828604376519,335.09312155641715,75.68131,320.9092859203192,97.34841,349.0297540482339
-89.48752025534111,21.98,103.28790458134719,155.0,564.9902637482604,564.9902637482604,10.160817986087503,-1741.6683399134995,1383.9454196230124,11.618259513399348,-603.9925904161544,94.95991,-251.95243352046032,335.09312155641715,-195.16242037515866,50.0655555451605,97.34841,349.0297540482339
-89.2680518010313,21.98,103.507373035657,155.0,565.8973273367538,565.8973273367538,10.432150001454797,-1726.594630212744,1399.0191293237679,11.928510693289317,-603.9925904161544,94.95991,-250.9297627241586,335.09312155641715,-194.70852812357015,50.51944779674901,97.34841,349.0297540482339
-55.24065824045779,21.98,137.53476659623053,155.0,565.8973273367538,565.8973273367538,10.432150001454797,-1773.8158700890544,1351.7978894474575,11.928510693289319,-603.9925904161544,94.95991,-254.25645302801365,335.09312155641715,-194.70852812357015,50.51944779674901,97.34841,349.0297540482339
-89.2680518010313,21.98,103.507373035657,155.0,565.8973273367538,565.8973273367538,10.432150001454797,-1726.594630212744,1399.0191293237679,11.928510693289319,-603.9925904161544,94.95991,-250.9297627241586,335.09312155641715,75.68131,320.9092859203192,97.34841,349.0297540482339
