Time_Index,Electricity_Demand_MW_SE,Electricity_Demand_MW_MIDAT,Electricity_Demand_MW_NE,Hydrogen_Demand_MW_SE,Hydrogen_Demand_MW_MIDAT,Hydrogen_Demand_MW_NE,Diesel_Load_mmbtu_z1,Diesel_Load_mmbtu_z2,Diesel_Load_mmbtu_z3,Gasoline_Load_mmbtu_z1,Gasoline_Load_mmbtu_z2,Gasoline_Load_mmbtu_z3,JetFuel_Load_mmbtu_z1,JetFuel_Load_mmbtu_z2,JetFuel_Load_mmbtu_z3,NG_Load_mmbtu_z1,NG_Load_mmbtu_z2,NG_Load_mmbtu_z3,Demand_Zero
93,1.18E+06,793313.8377,320486.9943,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
94,1.13E+06,723496.1757,305093.8019,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
95,1.05E+06,631991.58,280126.9429,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
96,963531.0558,573984.4722,254321.7806,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
97,884552.2523,530199.5926,233564.6621,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
98,820824.2505,501174.8837,218420.5309,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
99,771777.9479,481567.1878,208148.2782,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
100,738137.6569,470264.3544,201921.7501,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
101,718966.37,466565.2453,198216.2065,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
102,707549.8256,468306.0025,199054.5098,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
103,714890.6752,495626.22,212625.3037,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
104,756826.0687,540499.0728,235144.0741,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
105,839219.4883,592461.8848,259266.5552,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
106,934656.2811,640483.8157,278960.6079,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
107,1.03E+06,679572.2774,292786.5376,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
108,1.12E+06,711050.9704,302560.6681,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
109,1.18E+06,737041.4428,309030.1826,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
110,1.23E+06,759459.7364,313962.8078,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
111,1.27E+06,775839.7783,317085.1838,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
112,1.29E+06,787813.5285,318822.537,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
113,1.30E+06,793718.8056,318798.2384,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
114,1.29E+06,788345.4265,316295.4778,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
115,1.26E+06,771765.9228,309844.1873,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
116,1.22E+06,746796.9364,299742.0251,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
117,1.18E+06,727817.8473,293515.497,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
118,1.13E+06,690977.8637,283601.6493,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
119,1.06E+06,640066.7593,264351.0469,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
120,971423.7625,589004.5475,242980.3875,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
121,897302.4514,550883.1732,225333.4957,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
122,835488.7041,522529.3811,212625.3037,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
123,791058.4565,500153.3977,203458.6395,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
124,757648.1059,487115.8514,197481.1725,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
125,736723.523,479753.899,193520.4931,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
126,722403.9801,475680.0435,192603.2193,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
127,725364.4637,503441.4946,202972.6665,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
128,766075.4242,557380.7913,223176.9909,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
129,851383.3392,621256.9105,246831.723,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
130,954362.1795,679868.4479,268469.6674,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
131,1.05E+06,730489.4261,285618.437,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
132,1.13E+06,768985.5467,299037.3644,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
133,1.19E+06,789947.1649,308368.0445,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
134,1.23E+06,799575.7283,313646.9254,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
135,1.26E+06,815695.8655,316368.3738,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
136,1.27E+06,832136.3503,315882.4008,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
137,1.27E+06,834390.8727,314509.5273,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
138,1.24E+06,822386.901,311879.1989,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
139,1.20E+06,798469.6221,308234.4019,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
140,1.16E+06,771312.6006,299529.4119,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
141,1.12E+06,749988.3247,293497.273,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
142,1.07E+06,706076.5149,281347.9499,17501.85,8924.5,2584.9,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
