elec_MA,elec_CT,elec_ME
42.7804,42.253951370805204,43.63805566950595
42.7804,42.253951370805204,43.63805566950595
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.10776739670201,32.70034860768428,33.77150743682473
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.09809982141202,32.690799999999996,33.76164604729369
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
33.121399999999994,32.713813450388194,33.78541334470866
