Time_Index,Electricity_Demand_MW_SE,Electricity_Demand_MW_MIDAT,Electricity_Demand_MW_NE,Hydrogen_Demand_MW_SE,Hydrogen_Demand_MW_MIDAT,Hydrogen_Demand_MW_NE,Diesel_Demand_MW_SE,Diesel_Demand_MW_MIDAT,Diesel_Demand_MW_NE,Gasoline_Demand_MW_SE,Gasoline_Demand_MW_MIDAT,Gasoline_Demand_MW_NE,JetFuel_Demand_MW_SE,JetFuel_Demand_MW_MIDAT,JetFuel_Demand_MW_NE,NaturalGas_Demand_MW_SE,NaturalGas_Demand_MW_MIDAT,NaturalGas_Demand_MW_NE,Demand_Zero,Ethylene_Demand_SE,Ethylene_Demand_MIDAT,Ethylene_Demand_NE
38,1.04E+06,741278.4943,266926.7034,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
39,1.08E+06,765262.2604,269229.0001,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
40,1.12E+06,784604.0073,270826.6361,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
41,1.14E+06,793906.1787,271373.3556,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
42,1.15E+06,788629.5084,268123.4117,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
43,1.12E+06,769130.6098,261866.5103,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
44,1.08E+06,745255.641,254765.2309,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
45,1.03E+06,728464.5869,251618.5563,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
46,973958.8562,683803.2845,241364.5276,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
47,891519.4486,620870.0755,220589.185,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
48,799870.925,565800.4955,200682.5191,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
49,726755.6035,527721.4313,186352.3925,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
50,675898.5197,502323.2999,177070.3097,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
51,643022.7807,488052.7173,171882.5487,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
52,623851.4939,485882.815,170351.734,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
53,624184.9076,503175.5456,174288.1147,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
54,648782.7896,535403.7314,187044.9039,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
55,686084.8826,585758.7606,209673.0182,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
56,736206.1569,637703.4396,232951.1213,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
57,800997.6333,689315.6824,251484.9137,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
58,873842.7748,742856.0555,265359.4407,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
59,951499.4206,790599.9489,276992.4176,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
60,1.03E+06,833447.9625,285843.1995,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
61,1.10E+06,873358.4484,294390.2483,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
62,1.16E+06,906577.8987,301667.6928,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
63,1.21E+06,929673.1534,307195.6348,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
64,1.24E+06,947564.2693,311933.8708,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
65,1.26E+06,954696.5384,315129.1428,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
66,1.26E+06,942456.8392,312966.5633,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
67,1.23E+06,918805.5093,306302.6596,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
68,1.18E+06,889672.0031,296838.3369,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
69,1.13E+06,870191.2374,291917.861,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
70,1.08E+06,819521.9048,279762.4632,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
71,989893.7309,749003.1044,256119.8805,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
72,895589.3949,688251.8863,232531.9697,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
73,815259.6911,642774.6039,215146.2883,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
74,757067.5062,613151.5096,203950.687,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
75,716511.7555,592866.8526,197584.4417,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
76,693161.3006,584676.8316,195409.7129,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
77,689942.134,596342.3227,198611.0595,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
78,707066.9506,621377.7964,210511.3215,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
79,742966.4068,666963.8761,231930.5782,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
80,794507.5635,722668.1072,255658.2062,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
81,868772.5874,780415.3103,274216.2972,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
82,958685.0604,836844.8568,289554.8177,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
83,1.05E+06,886770.741,304498.4851,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
84,1.14E+06,918249.4341,318105.727,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
85,1.20E+06,942444.7506,331135.876,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
86,1.26E+06,957301.63,342853.8981,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
87,1.29E+06,963793.2038,351564.9628,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
88,1.31E+06,963351.9702,356570.4839,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
89,1.32E+06,937784.5985,358435.405,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
90,1.31E+06,908923.0855,354079.8727,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
91,1.27E+06,867259.7538,344087.0544,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
92,1.23E+06,828328.4439,330613.4551,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
93,1.18E+06,793313.8377,320486.9943,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
