natgas_SE,natgas_MIDAT,natgas_NE,natgas_demand_SE,natgas_demand_MIDAT,natgas_demand_NE,ethane_SE,ethane_MIDAT,ethane_NE,ethylene_SE,ethylene_MIDAT,ethylene_NE,ethylene_demand_SE,ethylene_demand_MIDAT,ethylene_demand_NE,biowood_SE,biowood_MIDAT,biowood_NE,bioherb_SE,bioherb_MIDAT,bioherb_NE,elec_SE,elec_MIDAT,elec_NE,h2_SE,h2_MIDAT,h2_NE,co2_captured_SE,co2_captured_MIDAT,co2_captured_NE,gasoline_SE,gasoline_MIDAT,gasoline_NE,gasoline_demand_SE,gasoline_demand_MIDAT,gasoline_demand_NE,jetfuel_SE,jetfuel_MIDAT,jetfuel_NE,jetfuel_demand_SE,jetfuel_demand_MIDAT,jetfuel_demand_NE,diesel_SE,diesel_MIDAT,diesel_NE,diesel_demand_SE,diesel_demand_MIDAT,diesel_demand_NE
-14.879806148430234,-21.206312602012787,-22.637475767670995,-14.879806148430234,-21.206312602012787,-22.637475767670995,73.46474602,73.46474602,73.46474602,7219.270536676772,7219.270536676772,7219.270536676772,8073.225889311937,8073.225889311937,8073.225889311937,79.99999999999999,79.99999999999888,79.99999999999999,79.99999999999999,79.99999999999999,80.00000000000018,48.42005205892355,40.036948623946145,38.14054830600241,55.316129541801466,45.7390882984914,43.57259897867754,-277.67248966823564,-245.4559931962967,-238.16807475102172,-3563.3632989499047,-3563.3632989499047,-3563.3632989499047,-3563.3632989499047,-3563.3632989499047,-3563.3632989499047,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-14.879806148430262,-21.206312602012787,-22.637475767670995,-14.879806148430262,-21.206312602012787,-22.637475767670995,73.46474602,73.46474602,73.46474602,7219.270536676771,7219.270536676771,7219.270536676771,8073.225889311936,8073.225889311936,8073.225889311936,79.99999999999999,79.99999999999888,80.00000000000018,79.99999999999999,79.99999999999999,79.99999999999999,48.42005205892355,40.036948623946145,38.14054830600241,55.316129541801466,45.7390882984914,43.57259897867754,-277.67248966823564,-245.4559931962967,-238.16807475102172,-3563.3632989499047,-3563.3632989499047,-3563.3632989499047,-3563.3632989499047,-3563.3632989499047,-3563.3632989499047,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-14.879806148430262,-21.206312602012787,-22.637475767670995,-14.879806148430262,-21.206312602012787,-22.637475767670995,73.46474602,73.46474602,73.46474602,7219.270536676771,7219.270536676771,7219.270536676771,8073.225889311936,8073.225889311936,8073.225889311936,79.99999999999999,79.99999999999888,79.99999999999999,79.99999999999999,79.99999999999999,80.00000000000018,48.42005205892355,40.036948623946145,38.14054830600241,55.316129541801466,45.7390882984914,43.57259897867754,-277.67248966823564,-245.4559931962967,-238.16807475102172,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,-3563.363298949891,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-14.879806148430262,-21.206312602012787,-22.637475767671,-14.879806148430262,-21.206312602012787,-22.637475767671,73.46474602,73.46474602,73.46474602,7219.270536676771,7219.270536676771,7219.270536676771,8073.225889311936,8073.225889311936,8073.225889311936,79.99999999999999,79.99999999999888,79.99999999999999,79.99999999999999,79.99999999999999,80.00000000000018,48.42005205892355,40.036948623946145,38.1405483060024,55.31612954180146,45.7390882984914,43.57259897867753,-277.67248966823564,-245.4559931962967,-238.1680747510217,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-14.879806148430262,-21.20631260201234,-22.637475767671003,-14.879806148430262,-21.20631260201234,-22.637475767671003,73.46474602,73.46474602,73.46474602,7219.270536676771,7219.270536676771,7219.270536676771,8073.225889311936,8073.225889311936,8073.225889311936,79.99999999999999,79.99999999999999,79.99999999999999,79.99999999999999,79.99999999999999,80.00000000000017,48.42005205892355,40.036948623946145,38.14054830600241,55.316129541801466,45.7390882984914,43.57259897867754,-277.67248966823564,-245.4559931962965,-238.1680747510217,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-14.879806148430234,-21.206312602012787,-22.637475767671003,-14.879806148430234,-21.206312602012787,-22.637475767671003,73.46474602,73.46474602,73.46474602,7219.270536676772,7219.270536676772,7219.270536676772,8073.225889311937,8073.225889311937,8073.225889311937,79.99999999999999,79.99999999999888,80.00000000000017,79.99999999999999,79.99999999999999,79.99999999999999,48.42005205892355,40.036948623946145,38.14054830600241,55.31612954180146,45.7390882984914,43.57259897867755,-277.67248966823564,-245.4559931962967,-238.1680747510217,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,-3563.363298949909,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-14.879806148430234,-21.206312602012314,-22.637475767670974,-14.879806148430234,-21.206312602012314,-22.637475767670974,73.46474602,73.46474602,73.46474602,7219.270536676772,7219.270536676772,7219.270536676772,8073.225889311937,8073.225889311937,8073.225889311937,79.99999999999999,80.00000000000018,80.00000000000018,79.99999999999999,79.99999999999999,79.99999999999999,48.42005205892355,40.03694862394619,38.14054830600245,55.31612954180146,45.73908829849145,43.57259897867758,-277.67248966823564,-245.4559931962967,-238.16807475102186,-3563.3632989498906,-3563.3632989498906,-3563.3632989498906,-3563.3632989498906,-3563.3632989498906,-3563.3632989498906,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-13.90313245036056,-19.774704115594325,-22.637475767670978,-13.90313245036056,-19.774704115594325,-22.637475767670978,73.46474602,73.46474602,73.46474602,7313.587631322049,7313.587631322049,7313.587631322049,8167.542983957213,8167.542983957213,8167.542983957213,79.99999999999999,79.99999999999999,79.99999999999997,79.99999999999999,79.99999999999999,79.99999999999999,49.71421917836185,47.27100791113495,38.1405483060025,56.79461444595794,47.08487794295356,43.5725989786777,-282.64600941075975,-249.9164582635927,-238.16807475102217,-3563.363298949854,-3563.363298949854,-3563.363298949854,-3563.363298949854,-3563.363298949854,-3563.363298949854,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-13.90313245036056,-19.267226203927056,-22.637475767670967,-13.90313245036056,-19.267226203927056,-22.637475767670967,73.46474602,73.46474602,73.46474602,7313.587631322049,7313.587631322049,7313.587631322049,8167.542983957213,8167.542983957213,8167.542983957213,80.00000000000017,79.99999999999999,79.99999999999996,79.99999999999999,79.99999999999999,79.99999999999999,49.71421917836185,52.283708296645486,38.1405483060025,56.79461444595793,47.185131950663774,43.57259897867765,-282.64600941075975,-250.19948204232685,-238.16807475102226,-3563.3632989498406,-3563.3632989498406,-3563.3632989498406,-3563.3632989498406,-3563.3632989498406,-3563.3632989498406,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-13.144569439079534,-19.053420774530302,-22.637475767670978,-13.144569439079534,-19.053420774530302,-22.637475767670978,73.46474602,73.46474602,73.46474602,7323.018776714964,7323.018776714964,7323.018776714964,8176.974129350128,8176.974129350128,8176.974129350128,79.99999999999999,79.99999999999999,79.99999999999997,79.99999999999999,79.99999999999999,79.99999999999999,57.207055835212124,54.39560821134392,38.1405483060025,56.94447117909495,47.227369948957744,43.5725989786777,-283.06906500574206,-250.31872274059285,-238.16807475102217,-3731.8844942322603,-3731.8844942322603,-3731.8844942322603,-3731.8844942322603,-3731.8844942322603,-3731.8844942322603,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
-13.903132450360546,-19.774704115594325,-22.637475767670978,-13.903132450360546,-19.774704115594325,-22.637475767670978,73.46474602,73.46474602,73.46474602,7313.587631322051,7313.587631322051,7313.587631322051,8167.542983957215,8167.542983957215,8167.542983957215,79.99999999999999,79.99999999999999,79.99999999999997,79.99999999999999,79.99999999999999,79.99999999999999,49.71421917836184,47.271007911134944,38.1405483060025,56.79461444595793,47.08487794295356,43.5725989786777,-282.6460094107598,-249.9164582635927,-238.16807475102217,-3563.363298949854,-3563.363298949854,-3563.363298949854,-3563.363298949854,-3563.363298949854,-3563.363298949854,69.30059661,69.30059661,69.30059661,0.0,0.0,0.0,83.29037731,83.29037731,83.29037731,0.0,0.0,0.0
